query,recipe_id,title
"cauliflower, olive oil, cajun seasoning, cherry tomatoes",004bfed02c1affc108234fcf,BLACKENED ROASTED CAULIFLOWER ‘STEAKS’
"cauliflower, parsley, lemon wedges",004bfed02c1affc108234fcf,BLACKENED ROASTED CAULIFLOWER ‘STEAKS’
"quinoa, brown rice, farro",004bfed02c1affc108234fcf,BLACKENED ROASTED CAULIFLOWER ‘STEAKS’
"Dates soaked in hot water, oats, cashew nut butter",007295abb52a58ae59d443ba,Caramel Oat Bites
"Soaked dates, oat flakes, cashew butter",007295abb52a58ae59d443ba,Caramel Oat Bites
"Dates, oats, nut butter",007295abb52a58ae59d443ba,Caramel Oat Bites
"I have spelt flour, desiccated coconut, maple syrup, and coconut oil",0076b59d6552d00ecf27cf18,Vegan Lemon Tarts
vanilla almond milk with agar agar and coconut butter,0076b59d6552d00ecf27cf18,Vegan Lemon Tarts
"all purpose gluten free flour, vanilla essence, and cold water",0076b59d6552d00ecf27cf18,Vegan Lemon Tarts
"Chickpea brine, maple syrup, vanilla bean paste, cream of tartar",00edb80fe307a9fd88bd3f28,Chocolate Dipped Maple Meringues
Dark chocolate and coconut oil,00edb80fe307a9fd88bd3f28,Chocolate Dipped Maple Meringues
Maple syrup with chickpea liquid and vanilla paste,00edb80fe307a9fd88bd3f28,Chocolate Dipped Maple Meringues
"all-purpose flour, coconut sugar, cocoa powder",01452f2b26d46b89368ce55e,Hot Brownie Skillet
"almond flour, baking powder, cinnamon",01452f2b26d46b89368ce55e,Hot Brownie Skillet
"coconut flour, nutmeg, ginger",01452f2b26d46b89368ce55e,Hot Brownie Skillet
"whole grain pasta, asparagus, red onion",015933d552df5f2d027da310,EASY LEMONY ASPARAGUS PASTA SALAD
"sun-dried tomatoes, parsley, olive oil",015933d552df5f2d027da310,EASY LEMONY ASPARAGUS PASTA SALAD
"asparagus, pasta, lemon-garlic dressing",015933d552df5f2d027da310,EASY LEMONY ASPARAGUS PASTA SALAD
"cashew nuts, lemon juice, white onion",0247b691b5deca0f7ee81d8a,Caramelised Onion Dip with Warm Foccacia
"garlic oil, brown sugar, onion",0247b691b5deca0f7ee81d8a,Caramelised Onion Dip with Warm Foccacia
"gluten free plain flour, baking powder, xanthan gum",0247b691b5deca0f7ee81d8a,Caramelised Onion Dip with Warm Foccacia
non-dairy butter applesauce vanilla flour cocoa powder,02644b19f94a4f47e9639af1,FAVORITE VEGAN BROWNIES
sugar flax eggs baking powder cacao,02644b19f94a4f47e9639af1,FAVORITE VEGAN BROWNIES
olive oil vanilla extract flour cocoa,02644b19f94a4f47e9639af1,FAVORITE VEGAN BROWNIES
"gram flour, garlic, turmeric, paprika",02a1790d854493e5103e7571,Garlic Gram Pancakes
"spelt flour, baking powder, nondairy milk",02a1790d854493e5103e7571,Garlic Gram Pancakes
"sea salt, cayenne pepper, sunflower oil",02a1790d854493e5103e7571,Garlic Gram Pancakes
"Hazelnuts, cacao, agave",02da3d4ec73395f44f447889,Hazelnut Truffles
Hazelnuts with hemp protein powder and almonds,02da3d4ec73395f44f447889,Hazelnut Truffles
"Cacao, agave, almonds",02da3d4ec73395f44f447889,Hazelnut Truffles
"black beans, grated beetroot, garlic, cumin",030fb3dd053bfe0e46548e86,The Best Vegan Burgers
"cilantro, chia egg, coconut oil",030fb3dd053bfe0e46548e86,The Best Vegan Burgers
"cayenne pepper, chilli flakes, salt",030fb3dd053bfe0e46548e86,The Best Vegan Burgers
"All-purpose flour, sugar, almond milk, vanilla extract",031cc04897385cea44a6d84c,Perfectly Vanilla Vegan Cupcakes
"Baking powder, baking soda, canola oil, apple cider vinegar",031cc04897385cea44a6d84c,Perfectly Vanilla Vegan Cupcakes
"Salt, flour, vegetable shortening, vanilla frosting",031cc04897385cea44a6d84c,Perfectly Vanilla Vegan Cupcakes
